id,job_name,short_info
                        100％自社内開発の【プログラマー】年休120日以上定着率90％[正社員],,
                    ",株式会社ゼロワン | ◇2000年設立 遊技機業界のパイオニア◇大手メーカーとの取引多数◇残業月...,
36,業務委託 【開発未経験可】IoTサービス開発・評価・検証,
37,サウンドクリエイター(カジノ)、プログラマー(カジノ)、サウンドクリエイター(遊技機)、プログラマー(遊技機)  サウンドプログラマー：Software Development,企業名 株式会社アルゼゲーミングテクノロジーズ 雇用形態 契約社員、正社員 業務内容 カジノ用ゲ...
38,ゲーム開発エンジニア(新規2Dゲーム)／新規タイトルのゲームコア部分から携わることができます。,［仕事内容］ 【職務概要】現在、開発中のスマホ向けの新規タイトル（2Dソーシャルゲーム）のゲーム...
39,SI出身者が多数活躍中【ITコンサルタント】[正社員],フューチャーアーキテクト株式会社 SI出身者が多数活躍中【ITコンサルタント】 「コード1行の重...
40,DBコンサルタント候補◆前給UP確約◆性能・セキュリティのアセスメントやクラウド移行のスキルが身につく,【 DB開発の最上流工程での業務全般を手がけていただけます 】 当社に寄せられる案件は、設計・構...
41,【システムエンジニア/コンサルタント】世界12か国に拠点を置くグローバル企業！お客様の基幹システム開発プロジェクトを成功に導くエンジニア/コンサル 募集...,【システムエンジニア/コンサルタント】世界12か国に拠点を置くグローバル企業！お客様の基幹システ...
42,業務委託 【多言語】バーチャルホームロボット(IoT製品)の開発製造,キャラクターと一緒に暮らしていくことを目的とした、家庭デバイスとの連携するIoT製品のモデル開発...
43,デバッガー(カジノ)、品質管理(カジノ)、進行管理(カジノ)、プログラマー(カジノ)、デバッガー(遊技機)、品質管理(遊技機)、進行管理(遊技機)、プログラマー(...,企業名 株式会社アルゼゲーミングテクノロジーズ 雇用形態 契約社員、正社員 業務内容 自社ソフト...
44,,
                        業務委託 【C++】産業用ロボットの制御ソフトウェア開発,,
                    ",産業用ロボットの制御ソフトウェアを開発します。 Linux上で動作するアプリケーションをC++で...,
45,,
                         SPIDER開発エンジニア,,
                    ",弊社SPIDER製品開発に携わるエンジニア職(1)サーバーアプリ・インフラ構築(2)クライアント...,
46,,
                        IoT機器及びデータ分析のシステム開発業│東京都中央区｜正社員,,
                    ",Ｕ・Ｉターン歓迎／土日祝休み ＜求人詳細＞ ■ヘルスケア分野におけるＩｏＴ機器及びデータ分析のシ...,
47,,
                        エステティシャン（痩身、フェイシャル）: 店長経験者大歓迎最新マシンを駆使した痩身エステ土日休みあり安心のノルマなし⌒,,
                    ",店長経験者大歓迎♪最新マシンを駆使した痩身エステ◆土日休みあり♪安心のノルマなし⌒☆ 【募集職種...,
48,,
                        業務委託／【上流/C#】金融機関向けプロジェクト支援案件,,
                    ",【職務内容】・金融向けのC#をはじめとしたMS製品環境の現場にご参画いただきます｡ ・下記を行っ...,
49,,
                        組み込み 【八王子】機械制御兼ソフトウェア技術者＜産業機器ソリューション部＞,,
                    ",＜製造ライン等の画像処理／産業機械のGUI設計・開発／製造業向けIoTの開発などを担当します＞ ...,
50,,
                        アプリケーション開発／ソフトウェアエンジニア（Musicデバイス）※10年間黒字、平均残業14時間,,
                    ",アプリケーション開発／ソフトウェアエンジニア（Musicデバイス）※10年間黒字、平均残業14時...,
51,,
                        年収500万以上／溶着機のトップメーカーからのソフトウェアエンジニアの募集,,
                    ",【職種名】 溶着機のトップメーカーからのソフトウェアエンジニアの募集 【仕事内容】 ・製品向け組...,
52,,
                        【東京西部地方勤務◇大手医療機器組込みアプリケーション開発SE◇【10年以上クライアントパートナシップ｜毎年成長率10％以上企業】】,,
                    ",パクテラ・テクノロジー・ジャパン 株式会社 東京西部地方（客先常駐予定） 東京都 弊社は中国発・...,
53,,
                        Qt/QML、.NET、Linux開発者 ,,
                    ",【仕事内容】Qt/QML、.NET、Linuxを利用した組込み系（自動車マルチメディア、スマート...,
54,,
                        組込ソフトウェア 車載Audioマイコン向け Ｌｉｎｕｘプラットフォーム開発,,
                    ",業務内容詳細 R-Car Linux アプリケーション プラットフォーム開発 ・Linuxアプリ...,
55,,
                        組込み機器向けGUI エンジニア (リーダー候補),,
                    ",組込み機器の操作盤としてHMIアプリケーション、共通フレームワーク、支援アプリケーションの開発を...,
56,インフラエンジニア／月平均残業15～20時間／仕事とプライベートを両立できる環境／クラウド環境,［仕事内容］ 【職務概要】同社のコアサービスである IoT クラウドプラットフォームの開発・運用...
57,テクノロジースペシャリスト[正社員],フューチャーアーキテクト株式会社 テクノロジースペシャリスト ベンダーに縛られずオープンな提案が...
58,エステティシャン（痩身、フェイシャル）: 2019年春・新宿エリアオープニングスタッフ大募集！経験者大歓迎！無資格OK最新マシンを駆使した痩身エステ土日休...,2019年春・新宿エリアオープニングスタッフ大募集！経験者大歓迎！無資格OK◆最新マシンを駆使し...
59,クラウドエンジニア(インフラ/ネットワーク)◆前給UP確約◆クラウド/ハイパーコンバージドのスキルをGET,当社に寄せられる案件は、設計・構築は当たり前、更にその先のコンサルフェーズと呼ばれる段階（次期イ...
60,システムエンジニア(その他)、サブ開発プログラマー(遊技機)、メイン開発プログラマー(遊技機)  グラフィックスエンジニア：Software Development,企業名 株式会社アルゼゲーミングテクノロジーズ 雇用形態 契約社員、正社員 業務内容 カジノ用ゲ...
61,開発エンジニア／◆社会貢献度非常に高い！◆培ってきたITスキルを社会問題解決に使いませんか？,［仕事内容］ 【職務概要】自社クラウドサービスのバックエンドシステムに対する設計／開発／保守運用...
62,大規模PL・PM候補【ITコンサルタント】[正社員],フューチャーアーキテクト株式会社 大規模PL・PM候補【ITコンサルタント】 経営・業務の中核に...
63,エステティシャン（痩身、フェイシャル）: 高卒・第二新卒歓迎無資格OK最新マシンを駆使したスリミングエステ土日休みあり安心のノルマなし⌒,高卒・第二新卒歓迎♪無資格OK◆最新マシンを駆使したスリミングエステ◆土日休みあり♪安心のノルマ...
64,,
                        GUI部のアプリケーション開発,,
                    ",[職種] IT・エンジニア （システムエンジニア（SE）・プログラマー） [仕事内容] GUI部...,
65,,
                        デバッガー(カジノ)、品質管理(カジノ)、進行管理(カジノ)、プログラマー(カジノ)、デバッガー(遊技機)、品質管理(遊技機)、進行管理(遊技機)、プログラマー(...,,
                    ",企業名 株式会社アルゼゲーミングテクノロジーズ 雇用形態 契約社員、正社員 業務内容 自社ソフト...,
66,,
                        組込みエンジニア【手術支援ロボット開発】※マネージャー,,
                    ",★今までの組込みの経験を生かしたい方、必見です！！ 【職務内容】 ■医療ロボットシステムの制御ソ...,
67,,
                        ゲーム開発エンジニア(新規2Dゲーム)／新規タイトルのゲームコア部分から携わることができます。,,
                    ",［仕事内容］ 【職務概要】現在、開発中のスマホ向けの新規タイトル（2Dソーシャルゲーム）のゲーム...,
68,,
                        【八王子・立川】システムエンジニア,,
                    ",【仕事内容】 製造ラインなどの画像処理／産業機械のGUI設計・開発／製造業向けIoTの開発などを...,
69,,
