,,,j_toeic,计数项:Firm_
j_toeic,计数项:Firm_,,700,629
400,4,,800,258
450,5,,735,227
470,5,,600,216
475,2,,500,133
500,133,,730,83
550,45,,650,71
580,3,,750,59
600,216,,550,45
650,71,,850,42
670,2,,900,31
680,5,,860,23
700,629,,770,6
730,83,,450,5
735,227,,470,5
750,59,,680,5
760,1,,400,4
770,6,,580,3
800,258,,475,2
850,42,,670,2
860,23,,760,1
865,1,,865,1
900,31,,990,1
990,1,,,
(空白),,,,
总计,1852,,,
